data,usd_brl,eur_brl
2025-01-01 20:59:28,6.3,
2025-01-02 20:59:08,6.151,
2025-01-03 18:58:37,6.178,
2025-01-03 20:59:58,6.178,
2025-01-05 20:59:37,,6.3102
2025-01-06 19:00:04,6.1152,
2025-01-06 20:59:37,,6.3452
2025-01-07 20:59:21,6.1009,
2025-01-07 20:59:32,,6.3052
2025-01-08 20:59:31,,6.2893
2025-01-08 20:59:40,6.1041,
2025-01-09 20:58:40,,6.2073
2025-01-09 20:59:04,6.0351,
2025-01-10 18:58:33,6.1014,6.25
2025-01-10 18:59:29,6.0884,
2025-01-10 20:59:58,,6.215
2025-01-12 20:58:44,6.1059,
2025-01-12 20:59:43,,6.1936
2025-01-13 17:59:14,6.095,
2025-01-13 20:59:29,,6.25
2025-01-14 19:00:04,6.0559,
2025-01-14 20:58:39,,6.2344
2025-01-15 19:00:04,6.0126,
2025-01-15 20:59:14,,6.1843
2025-01-16 19:00:03,6.0499,
2025-01-16 20:59:35,,6.2267
2025-01-17 17:58:58,6.076,
2025-01-17 18:58:28,,6.2267
2025-01-17 18:59:02,,6.2267
2025-01-19 20:59:46,,6.2149
2025-01-20 17:58:59,6.0317,
2025-01-20 20:58:35,,6.2775
2025-01-21 17:58:59,6.0246,
2025-01-21 20:59:39,,6.2578
2025-01-22 17:58:59,5.9395,
2025-01-22 20:59:28,,6.1767
2025-01-23 19:00:04,5.9243,
2025-01-23 20:59:10,,6.1614
2025-01-24 17:58:59,5.912,
2025-01-24 17:58:59,5.9109,
2025-01-24 18:59:28,,6.1996
2025-01-24 18:59:28,,6.1996
2025-01-26 20:59:28,,6.1876
2025-01-27 19:00:04,5.8926,
2025-01-27 20:58:42,,6.1463
2025-01-28 19:00:04,5.8571,
2025-01-28 20:58:45,,6.1013
2025-01-29 19:00:03,5.8563,
2025-01-29 20:58:40,,6.1013
2025-01-30 19:00:03,5.8747,
2025-01-30 20:59:26,,6.1013
2025-01-31 17:58:56,5.843,
2025-01-31 17:58:56,5.841,
2025-01-31 18:59:27,,6.0459
2025-02-02 19:02:50,5.8435,
2025-02-02 20:58:42,,6.0708
2025-02-03 19:00:04,5.8066,
2025-02-03 20:59:37,,5.9916
2025-02-04 19:00:03,5.7581,
2025-02-04 20:59:44,,5.9666
2025-02-05 19:00:03,5.8039,
2025-02-05 20:59:38,,6.0314
2025-02-06 19:00:03,5.7617,
2025-02-06 20:59:24,,5.9773
2025-02-07 17:58:21,5.8058,
2025-02-07 17:58:59,5.807,
2025-02-07 18:59:34,,5.988
2025-02-07 18:59:34,,5.988
2025-02-09 20:59:05,,5.9585
2025-02-10 19:00:03,5.7874,
2025-02-10 20:59:24,,5.9559
2025-02-11 19:00:03,5.7654,
2025-02-11 20:58:31,,5.9701
2025-02-12 19:00:04,5.7649,
2025-02-12 20:59:25,,5.9861
2025-02-13 19:00:04,5.7669,
2025-02-13 20:59:17,,6.0277
2025-02-14 17:58:45,5.7042,
2025-02-14 17:58:59,5.695,
2025-02-14 18:59:28,,5.9773
2025-02-14 18:59:28,,5.9773
2025-02-16 20:58:39,,5.9812
